clip,frame,keypoint_index,confident_count,residual_m,residual_px,dlt_conditioning
clip_1,105,12,7,0.018452,0.458387,1.223250e-01
clip_1,105,13,7,0.064520,2.387446,1.382364e-01
clip_1,105,14,7,0.006424,0.411187,1.462591e-01
clip_1,105,15,7,0.032635,0.719607,1.442817e-01
clip_1,106,11,7,0.046696,4.099910,1.998698e-01
clip_1,106,12,7,0.017779,0.447068,1.225924e-01
clip_1,106,13,7,0.061871,2.274109,1.385366e-01
clip_1,106,14,7,0.005658,0.398911,1.466839e-01
clip_1,106,15,7,0.033312,0.702219,1.446954e-01
clip_1,107,11,7,0.046058,3.967507,2.008197e-01
clip_1,107,12,7,0.017569,0.447501,1.231385e-01
clip_1,107,13,7,0.061223,2.149397,1.391619e-01
clip_1,107,14,7,0.006379,0.431557,1.474787e-01
clip_1,107,15,7,0.031535,0.592695,1.455162e-01
clip_1,108,11,7,0.048176,4.150374,2.013249e-01
clip_1,108,12,7,0.017465,0.489479,1.228672e-01
clip_1,108,13,7,0.061259,2.030163,1.388303e-01
clip_1,108,14,7,0.004502,0.321717,1.470082e-01
clip_1,108,15,7,0.033872,0.625585,1.450439e-01
clip_1,109,11,7,0.050169,3.746702,2.010057e-01
clip_1,109,12,7,0.013740,0.351153,1.233447e-01
clip_1,109,13,7,0.061316,2.076986,1.392971e-01
clip_1,109,14,7,0.009781,0.363070,1.477198e-01
clip_1,109,15,7,0.024466,0.488061,1.457693e-01
clip_1,110,11,7,0.048664,3.485308,2.012302e-01
clip_1,110,12,7,0.013861,0.350121,1.232911e-01
clip_1,110,13,7,0.060663,1.958774,1.392319e-01
clip_1,110,14,7,0.010994,0.367915,1.476156e-01
clip_1,110,15,7,0.022170,0.394236,1.456996e-01
clip_1,111,11,7,0.051553,4.081717,2.014138e-01
clip_1,111,12,7,0.015470,0.487681,1.232958e-01
clip_1,111,13,7,0.062876,1.925595,1.391743e-01
clip_1,111,14,7,0.009734,0.357748,1.475822e-01
clip_1,111,15,7,0.025377,0.445778,1.456509e-01
clip_1,112,11,7,0.049492,3.911217,2.014450e-01
clip_1,112,12,7,0.016623,0.464284,1.233007e-01
clip_1,112,13,7,0.063989,1.912986,1.391895e-01
clip_1,112,14,7,0.011617,0.373566,1.475820e-01
clip_1,112,15,7,0.023060,0.396021,1.456691e-01
clip_1,113,11,7,0.041797,3.722316,2.015442e-01
clip_1,113,12,7,0.022169,0.561543,1.232286e-01
clip_1,113,13,7,0.064523,1.880694,1.392114e-01
clip_1,113,14,7,0.008701,0.375807,1.475121e-01
clip_1,113,15,7,0.026645,0.441012,1.456048e-01
clip_1,114,11,7,0.044904,3.677341,2.018391e-01
clip_1,114,12,7,0.017731,0.461939,1.233917e-01
clip_1,114,13,7,0.060951,1.840346,1.393686e-01
clip_1,114,14,7,0.006901,0.354511,1.477448e-01
