epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,2962.64,0.2908,0.43069,0.08074,0.21702,0.93718,0.99972,1,0.995,0.90909,0.99972,1,0.995,0.89106,0.42319,0.38497,0.1149,0.26297,0.73733,0.0016436,0.0016436,0.0016436
92,2994.68,0.2829,0.41706,0.08247,0.20595,0.93624,0.99973,1,0.995,0.88989,0.99973,1,0.995,0.90439,0.46315,0.43539,0.1085,0.27536,0.7614,0.00163964,0.00163964,0.00163964
93,3026.51,0.27398,0.41528,0.08282,0.20749,0.93134,0.99973,1,0.995,0.89744,0.99973,1,0.995,0.85931,0.48298,0.47417,0.12667,0.33165,0.77608,0.00163568,0.00163568,0.00163568
94,3058.62,0.27214,0.37532,0.08194,0.20678,0.92376,0.99974,1,0.995,0.90229,0.99974,1,0.995,0.89319,0.44281,0.40446,0.11653,0.2862,0.74094,0.00163172,0.00163172,0.00163172
95,3090.28,0.27141,0.36412,0.08029,0.20503,0.92168,0.99979,1,0.995,0.90823,0.99979,1,0.995,0.92055,0.44519,0.38599,0.107,0.28853,0.75489,0.00162776,0.00162776,0.00162776
96,3123.64,0.27634,0.33379,0.07925,0.20992,0.91322,0.99979,1,0.995,0.90547,0.99979,1,0.995,0.92072,0.45221,0.3598,0.11169,0.2926,0.74497,0.0016238,0.0016238,0.0016238
97,3155.78,0.27002,0.37221,0.07789,0.2043,0.91479,0.99974,1,0.995,0.91393,0.9952,0.99545,0.99205,0.90114,0.43148,0.39993,0.1119,0.29017,0.75263,0.00161984,0.00161984,0.00161984
98,3187.78,0.27308,0.35768,0.07767,0.20576,0.92106,0.99963,1,0.995,0.89565,0.99509,0.99545,0.99186,0.91328,0.46041,0.4379,0.10238,0.29229,0.74178,0.00161588,0.00161588,0.00161588
99,3219.81,0.26531,0.33848,0.07681,0.19771,0.9219,0.99975,1,0.995,0.90492,0.99975,1,0.995,0.92807,0.45568,0.34927,0.10712,0.29407,0.75272,0.00161192,0.00161192,0.00161192
100,3253.57,0.26636,0.37295,0.07778,0.20084,0.92142,0.99973,1,0.995,0.90204,0.99519,0.99545,0.99205,0.89132,0.43771,0.44787,0.10596,0.28726,0.74579,0.00160796,0.00160796,0.00160796
101,3285.32,0.259,0.34672,0.07744,0.19299,0.91893,0.99974,1,0.995,0.91579,0.99974,1,0.995,0.88561,0.43732,0.45737,0.11046,0.27823,0.74527,0.001604,0.001604,0.001604
102,3317.31,0.26595,0.35679,0.07212,0.19185,0.92113,0.99973,1,0.995,0.90083,0.99518,0.99545,0.99359,0.91192,0.47211,0.41059,0.09963,0.29341,0.75351,0.00160004,0.00160004,0.00160004
103,3349.04,0.25952,0.36039,0.07398,0.19662,0.90784,0.99973,1,0.995,0.91235,0.99518,0.99545,0.99486,0.88109,0.44129,0.50139,0.09731,0.28919,0.72361,0.00159608,0.00159608,0.00159608
104,3380.88,0.27954,0.38303,0.07838,0.20462,0.93575,0.99979,1,0.995,0.89097,0.99524,0.99545,0.99355,0.87634,0.45808,0.44792,0.11145,0.28408,0.75718,0.00159212,0.00159212,0.00159212
105,3412.63,0.27673,0.37306,0.07664,0.20088,0.92288,0.99973,1,0.995,0.85838,0.99973,1,0.995,0.89757,0.56524,0.40943,0.10652,0.34524,0.83285,0.00158816,0.00158816,0.00158816
106,3444.59,0.27909,0.40036,0.07563,0.20154,0.92584,0.99976,1,0.995,0.91093,0.99976,1,0.995,0.88509,0.43936,0.47657,0.11114,0.28787,0.75379,0.0015842,0.0015842,0.0015842
107,3476.41,0.27445,0.41693,0.0758,0.19832,0.92612,0.99989,1,0.995,0.89714,0.99989,1,0.995,0.88272,0.45359,0.42479,0.09543,0.27454,0.75913,0.00158024,0.00158024,0.00158024
108,3508.26,0.26845,0.39746,0.0738,0.1953,0.91689,0.99984,1,0.995,0.90191,0.99984,1,0.995,0.91637,0.43922,0.34931,0.10673,0.2799,0.74859,0.00157628,0.00157628,0.00157628
109,3540.31,0.27701,0.34078,0.07396,0.19985,0.91598,0.99974,1,0.995,0.89008,0.99974,1,0.995,0.90334,0.46779,0.3919,0.10996,0.26797,0.75892,0.00157232,0.00157232,0.00157232
110,3572.78,0.26601,0.3922,0.07617,0.19008,0.92453,0.9998,1,0.995,0.91022,0.9998,1,0.995,0.89272,0.43494,0.4026,0.09991,0.27561,0.74106,0.00156836,0.00156836,0.00156836
111,3604.88,0.26442,0.33789,0.0712,0.1923,0.91363,0.99978,1,0.995,0.92604,0.99978,1,0.995,0.91317,0.4011,0.35624,0.10414,0.26225,0.71963,0.0015644,0.0015644,0.0015644
112,3638.61,0.26703,0.34083,0.07152,0.1941,0.91477,0.99972,1,0.995,0.90389,0.99518,0.99545,0.99232,0.90306,0.44458,0.35768,0.10301,0.26739,0.7528,0.00156044,0.00156044,0.00156044
113,3670.75,0.26008,0.3268,0.07027,0.19256,0.91845,0.99973,1,0.995,0.87986,0.99973,1,0.995,0.91855,0.47332,0.3608,0.09383,0.26425,0.76028,0.00155648,0.00155648,0.00155648
114,3702.89,0.25782,0.34126,0.07075,0.19551,0.91062,0.99973,1,0.995,0.91124,0.99973,1,0.995,0.90219,0.42647,0.37707,0.09806,0.26603,0.73622,0.00155252,0.00155252,0.00155252
115,3735.03,0.25711,0.30899,0.06936,0.19701,0.9069,0.99968,1,0.995,0.89432,0.99968,1,0.995,0.90123,0.4436,0.40764,0.08786,0.28021,0.75159,0.00154856,0.00154856,0.00154856
116,3766.97,0.25507,0.3292,0.07066,0.19915,0.90958,0.99973,1,0.995,0.90761,0.99519,0.99545,0.99364,0.90641,0.43627,0.38152,0.10255,0.29394,0.73619,0.0015446,0.0015446,0.0015446
117,3799.12,0.24998,0.29291,0.06735,0.19117,0.91361,0.99973,1,0.995,0.91186,0.99973,1,0.995,0.89599,0.4172,0.36481,0.09884,0.25842,0.71592,0.00154064,0.00154064,0.00154064
