method,variant,crop_fraction,policy,held_out,threshold,train_eff_acc,test_eff_acc,test_acc,n_decided,abstain_pct
embedding,,0.667,track_majority,clip_3,0.501,0.5876,0.5401,0.5401,748,0.0
embedding,,0.667,window_weighted,clip_1,0.501,0.5772,0.5109,0.5109,137,0.0
embedding,,0.667,window_weighted,clip_2,0.5012,0.574,0.5573,0.5573,314,0.0
embedding,,0.667,window_weighted,clip_3,0.501,0.5432,0.5856,0.5856,748,0.0
fashionclip,A_generic,0.85,none,clip_1,0.515,0.9623,0.8248,0.837,135,1.5
fashionclip,A_generic,0.85,none,clip_2,0.5036,0.9469,0.9522,0.9522,314,0.0
fashionclip,A_generic,0.85,none,clip_3,0.5034,0.918,0.9666,0.9666,748,0.0
fashionclip,A_generic,0.85,memoise_reset,clip_1,0.515,0.9087,0.8248,0.837,135,1.5
fashionclip,A_generic,0.85,memoise_reset,clip_2,0.5036,0.8712,0.9809,0.9809,314,0.0
fashionclip,A_generic,0.85,memoise_reset,clip_3,0.5034,0.9357,0.8783,0.8783,748,0.0
fashionclip,A_generic,0.85,track_majority,clip_1,0.515,0.9284,0.8248,0.837,135,1.5
fashionclip,A_generic,0.85,track_majority,clip_2,0.5036,0.8893,0.9968,0.9968,314,0.0
fashionclip,A_generic,0.85,track_majority,clip_3,0.5034,0.9468,0.8997,0.8997,748,0.0
fashionclip,A_generic,0.85,window_weighted,clip_1,0.515,0.9774,0.7883,0.8,135,1.5
fashionclip,A_generic,0.85,window_weighted,clip_2,0.5036,0.9503,0.9777,0.9777,314,0.0
fashionclip,A_generic,0.85,window_weighted,clip_3,0.5034,0.9246,0.9773,0.9773,748,0.0
fashionclip,B_domain,0.85,none,clip_1,0.5054,0.967,0.8394,0.8456,136,0.7
fashionclip,B_domain,0.85,none,clip_2,0.5035,0.9548,0.9459,0.9489,313,0.3
fashionclip,B_domain,0.85,none,clip_3,0.502,0.9157,0.9759,0.9759,748,0.0
fashionclip,B_domain,0.85,memoise_reset,clip_1,0.5054,0.9284,0.7518,0.7574,136,0.7
fashionclip,B_domain,0.85,memoise_reset,clip_2,0.5035,0.8836,0.9777,0.9808,313,0.3
fashionclip,B_domain,0.85,memoise_reset,clip_3,0.502,0.9113,0.9078,0.9078,748,0.0
fashionclip,B_domain,0.85,track_majority,clip_1,0.5054,0.9275,0.8321,0.8382,136,0.7
fashionclip,B_domain,0.85,track_majority,clip_2,0.5035,0.8893,0.9936,0.9968,313,0.3
fashionclip,B_domain,0.85,track_majority,clip_3,0.502,0.9446,0.8997,0.8997,748,0.0
fashionclip,B_domain,0.85,window_weighted,clip_1,0.5054,0.9765,0.8321,0.8382,136,0.7
fashionclip,B_domain,0.85,window_weighted,clip_2,0.5035,0.9548,0.9745,0.9776,313,0.3
fashionclip,B_domain,0.85,window_weighted,clip_3,0.502,0.9335,0.9773,0.9773,748,0.0
fashionclip,C_nba,0.85,none,clip_1,0.5152,0.9699,0.8686,0.875,136,0.7
fashionclip,C_nba,0.85,none,clip_2,0.5041,0.9571,0.9618,0.9649,313,0.3
fashionclip,C_nba,0.85,none,clip_3,0.5026,0.9335,0.9733,0.9733,748,0.0
fashionclip,C_nba,0.85,memoise_reset,clip_1,0.5152,0.9068,0.854,0.8603,136,0.7
fashionclip,C_nba,0.85,memoise_reset,clip_2,0.5041,0.8757,0.9777,0.9808,313,0.3
fashionclip,C_nba,0.85,memoise_reset,clip_3,0.5026,0.9424,0.8783,0.8783,748,0.0
fashionclip,C_nba,0.85,track_majority,clip_1,0.5152,0.9256,0.8248,0.8309,136,0.7
fashionclip,C_nba,0.85,track_majority,clip_2,0.5041,0.8893,0.9936,0.9968,313,0.3
fashionclip,C_nba,0.85,track_majority,clip_3,0.5026,0.9446,0.8997,0.8997,748,0.0
fashionclip,C_nba,0.85,window_weighted,clip_1,0.5152,0.9765,0.8613,0.8676,136,0.7
fashionclip,C_nba,0.85,window_weighted,clip_2,0.5041,0.9616,0.9745,0.9776,313,0.3
fashionclip,C_nba,0.85,window_weighted,clip_3,0.5026,0.9424,0.9786,0.9786,748,0.0
kmeans,,0.85,none,clip_1,0.5003,0.7637,0.5839,0.5839,137,0.0
kmeans,,0.85,none,clip_2,0.5003,0.7311,0.7771,0.7771,314,0.0
kmeans,,0.85,none,clip_3,0.5021,0.7184,0.758,0.7611,745,0.4
kmeans,,0.85,memoise_reset,clip_1,0.5003,0.7881,0.5109,0.5109,137,0.0
kmeans,,0.85,memoise_reset,clip_2,0.5003,0.7638,0.7357,0.7357,314,0.0
kmeans,,0.85,memoise_reset,clip_3,0.5021,0.6674,0.8102,0.8134,745,0.4
kmeans,,0.85,track_majority,clip_1,0.5003,0.822,0.5474,0.5474,137,0.0
kmeans,,0.85,track_majority,clip_2,0.5003,0.7876,0.7994,0.7994,314,0.0
kmeans,,0.85,track_majority,clip_3,0.5021,0.7228,0.8316,0.8349,745,0.4
kmeans,,0.85,window_weighted,clip_1,0.5003,0.7825,0.5255,0.5255,137,0.0
kmeans,,0.85,window_weighted,clip_2,0.5003,0.7446,0.7771,0.7771,314,0.0
kmeans,,0.85,window_weighted,clip_3,0.5021,0.7007,0.7848,0.7879,745,0.4
embedding,,0.85,none,clip_1,0.5006,0.5612,0.5182,0.5182,137,0.0
embedding,,0.85,none,clip_2,0.5007,0.5605,0.5446,0.5446,314,0.0
embedding,,0.85,none,clip_3,0.5007,0.5366,0.5682,0.5697,746,0.3
embedding,,0.85,memoise_reset,clip_1,0.5006,0.5895,0.5985,0.5985,137,0.0
embedding,,0.85,memoise_reset,clip_2,0.5007,0.574,0.6369,0.6369,314,0.0
embedding,,0.85,memoise_reset,clip_3,0.5007,0.6253,0.5695,0.571,746,0.3
embedding,,0.85,track_majority,clip_1,0.5006,0.5593,0.5839,0.5839,137,0.0
embedding,,0.85,track_majority,clip_2,0.5007,0.5503,0.5955,0.5955,314,0.0
